order_id;lat;lng;dow;promised_time;actual_time;on_demand;picker_id;driver_id;store_branch_id;total_minutes
6abd5e28d01b7c733fe37485294235dc;1.822.114.109.606.680;-10.031.391.366.664.600;2;13:00:00;12:00:15;false;09bb5bfe76adbb474dddbdd111a51623;09bb5bfe76adbb474dddbdd111a51623;0dc6fb5924a8b917bc641666ed02663c;91.800.861
0d37a1eea001f01b40232ffd496ff663;18.177.712.202.580.300;-10.035.705.073.096.900;2;13:00:00;10:28:10;false;c4c722114a82fa21654e57e9636d68b0;c4c722114a82fa21654e57e9636d68b0;2bbf833e689d24b697f1f3529c3f3c4b;206.599.732
528428e9b9eb5d3bd0dbdd8da692b087;1.826.683.205.404.410;-10.031.755.280.890.600;2;11:00:00;10:40:50;false;e15c7a67d0ea9a54dffb410bc1d8528b;e15c7a67d0ea9a54dffb410bc1d8528b;8d891dfc0e29d744c15c18adced74a68;93.458.001
d3f7be6d64eae7405b7bf024e04807a2;18.248.884.004.419.400;-1.003.226.215.187.040;2;10:00:00;9:41:47;false;d1f0bd4b237c1358f09db22076b940e7;d1f0bd4b237c1358f09db22076b940e7;0dc6fb5924a8b917bc641666ed02663c;124.778.761
e0ad6533b6cd9a382ec6c1d473c5036c;1.822.911.027.242.010;-10.032.267.241.783.800;2;11:00:00;10:07:53;false;06a71e8ab0c6db5ce22a4689fd76a3f4;06a71e8ab0c6db5ce22a4689fd76a3f4;afd0a7b8d546fcc697bb93a5934b65c3;130.321.208
f169a660e8667798da11775767cdce78;1.828.933.393.447.600;-10.032.279.563.024.500;2;12:00:00;11:29:36;false;163278a2f745b3416526066a5fe12f3b;163278a2f745b3416526066a5fe12f3b;86e6e48d0cb57f794b0c48162409fa74;74.993.118
073eca5efe7ebb1073ec80cb90185c20;18.220.781.926.558.000;-10.041.730.464.104.800;2;12:00:00;11:00:15;false;e0322b49c16e71de1fe1837d98f23468;e0322b49c16e71de1fe1837d98f23468;3dd9ae393aa5327edfb27388758436bd;65.901.589
99a360636e3cb03552b6d74b4ccef603;182.207.131.731.412;-1.004.172.233.161.320;2;10:00:00;9:44:54;false;649984b82d3dd1a1083a72de6b4b348c;649984b82d3dd1a1083a72de6b4b348c;9ef0cb7f21f56bf24ca5ef4194f69c64;93.661.068
c1800bdd3c666b497b39d6e526917167;18.220.946.960.795.100;-10.041.727.333.923.400;2;10:00:00;8:46:04;false;a083ea904c55052cdb58917ed790ca96;a083ea904c55052cdb58917ed790ca96;2d69acabaafd2516eeffd3c69b3c1328;665.212
b4c64ceaa31265a4b2ff0dec82b9beeb;1.821.779.028.764.210;-10.034.468.733.201.700;2;17:00:00;16:33:37;false;2bfd559c4bef0e59fee43bf322e3ea5e;2bfd559c4bef0e59fee43bf322e3ea5e;f45fd1f4de72b451f9d99e2a033de337;83.232.147
e330962281e3de49b3d3856653e6da71;18.303.241.484.963.600;-10.034.444.737.424.100;2;11:00:00;10:22:00;false;29c7a131083ab05e25a3d9b4d49d8c5e;29c7a131083ab05e25a3d9b4d49d8c5e;a3bed30221372366bcd9b9779f395d0b;87.612.301
4211ea0cba325e47bb71b7fed552d9c4;18.268.401.752.438.100;-1.003.124.959.958.100;2;9:00:00;8:28:39;false;8a7dc2f6cfa12b8f6514043aaf5e5bc7;8a7dc2f6cfa12b8f6514043aaf5e5bc7;f45fd1f4de72b451f9d99e2a033de337;88.363.666
df5de78cdde5a1fcd3ab2e1854a4b7a0;1.826.850.386.845.330;-10.031.256.569.770.200;2;12:00:00;11:36:23;false;91b508d81eb559e384062d1c046594b9;91b508d81eb559e384062d1c046594b9;8d891dfc0e29d744c15c18adced74a68;1.533.419
4616d54ad9cb3f34dea010dd777f90c7;18.286.820.627.267.700;-10.033.227.666.582.000;2;10:00:00;9:58:10;false;47e079a2408b680d81ff7637e376ff66;1452af436d5f09d058810324f8a43548;86e6e48d0cb57f794b0c48162409fa74;174.948.732
ce264645741a0fc79890f06ea7b2336b;18.277.937.076.581.500;-1.003.033.117.013.620;2;13:00:00;12:13:45;false;7ff3aa21189a1cc947a2b89014b453ba;7ff3aa21189a1cc947a2b89014b453ba;69803373c7d9ae282a73c00e69f119b4;60.097.044
b72060dd7e1b8ea5c4e7061dc35ce31f;18.225.234.112.772.900;-10.040.516.915.745.600;2;12:00:00;10:23:07;false;c11a9ee46ee2c3234d196a2c06d65198;c11a9ee46ee2c3234d196a2c06d65198;6045691f87544c937a09d350d42eb3ba;91.439.743
f28062e9d0b9d4cfa1a44d248b9c5e84;1.822.146.121.529.450;-10.032.818.499.116.900;2;11:00:00;10:02:37;false;b49ed2d763e39e6834e0f5f35c754132;b49ed2d763e39e6834e0f5f35c754132;850fc42b029db68d97f0aea6a8babe36;69.157.783
975dbd17902585a82876fe61d7005e0c;1.828.472.618.330.130;-10.036.488.601.584.400;2;10:00:00;9:14:10;false;3cd818bedd90395346bce737dec49e3f;3cd818bedd90395346bce737dec49e3f;86e6e48d0cb57f794b0c48162409fa74;132.419.758
