order_id,lat_order,lng_order,dow,promised_time,actual_time,on_demand,picker_id,driver_id,store_branch_id,total_minutes,actual_reception_time,promised_delivery_time,total_minutes_td,order_time,model_1_dt_time,model_1_time,store,lat_store,lng_store,shopper_id_picker,seniority_picker,found_rate_picker,picking_speed_picker,accepted_rate_picker,rating_picker,shopper_id_driver,seniority_driver,found_rate_driver,picking_speed_driver,accepted_rate_driver,rating_driver,total_product,real_total_unit,real_total_kg,real_without_product,total_unit,total_kg,distancia
6abd5e28d01b7c733fe37485294235dc,18.22114,-10.03139,2,13:00:00,12:00:15,False,09bb5bfe76adbb474dddbdd111a51623,09bb5bfe76adbb474dddbdd111a51623,0dc6fb5924a8b917bc641666ed02663c,91.800861,1900-01-01 12:00:15,1900-01-01 13:00:00,0 days 01:31:48.051660,1900-01-01 10:28:26.948340000,0 days 02:31:33.051660,151.550861,60e4c4e1c1a8bc79123738227b9d0b08,18.2319,-10.03035,09bb5bfe76adbb474dddbdd111a51623,ADVANCED,0.86,1.56,1.0,4.68,09bb5bfe76adbb474dddbdd111a51623,ADVANCED,0.86,1.56,1.0,4.68,27.0,18.0,6.245,1.0,19.0,5.7219999999999995,1.201490443773225
0d37a1eea001f01b40232ffd496ff663,18.17771,-10.0357,2,13:00:00,10:28:10,False,c4c722114a82fa21654e57e9636d68b0,c4c722114a82fa21654e57e9636d68b0,2bbf833e689d24b697f1f3529c3f3c4b,206.599732,1900-01-01 10:28:10,1900-01-01 13:00:00,0 days 03:26:35.983919999,1900-01-01 07:01:34.016080001,0 days 05:58:25.983919999,358.4330653166666,387d4a5b65cf4bf00ad805c4b00eed01,18.16396,-10.03289,c4c722114a82fa21654e57e9636d68b0,ADVANCED,0.85,1.14,1.0,4.76,c4c722114a82fa21654e57e9636d68b0,ADVANCED,0.85,1.14,1.0,4.76,103.0,114.0,40.614,20.0,150.0,39.562000000000005,1.557488234847418
528428e9b9eb5d3bd0dbdd8da692b087,18.26683,-10.03175,2,11:00:00,10:40:50,False,e15c7a67d0ea9a54dffb410bc1d8528b,e15c7a67d0ea9a54dffb410bc1d8528b,8d891dfc0e29d744c15c18adced74a68,93.458001,1900-01-01 10:40:50,1900-01-01 11:00:00,0 days 01:33:27.480060,1900-01-01 09:07:22.519940000,0 days 01:52:37.480060,112.62466766666667,0fae7b61265bc7ca4ce4d81440b62501,18.24565,-10.03324,e15c7a67d0ea9a54dffb410bc1d8528b,INTERMEDIATE,0.83,2.03,1.0,4.96,e15c7a67d0ea9a54dffb410bc1d8528b,INTERMEDIATE,0.83,2.03,1.0,4.96,6.0,6.0,0.0,0.0,6.0,0.0,2.360361798526162
d3f7be6d64eae7405b7bf024e04807a2,18.24888,-10.03226,2,10:00:00,9:41:47,False,d1f0bd4b237c1358f09db22076b940e7,d1f0bd4b237c1358f09db22076b940e7,0dc6fb5924a8b917bc641666ed02663c,124.778761,1900-01-01 09:41:47,1900-01-01 10:00:00,0 days 02:04:46.725660,1900-01-01 07:37:00.274340000,0 days 02:22:59.725660,142.99542766666667,60e4c4e1c1a8bc79123738227b9d0b08,18.2319,-10.03035,d1f0bd4b237c1358f09db22076b940e7,INTERMEDIATE,0.86,2.06,0.92,4.92,d1f0bd4b237c1358f09db22076b940e7,INTERMEDIATE,0.86,2.06,0.92,4.92,17.0,18.0,19.805000000000003,1.0,20.0,18.300000000000004,1.8988365813847456
e0ad6533b6cd9a382ec6c1d473c5036c,18.22911,-10.03226,2,11:00:00,10:07:53,False,06a71e8ab0c6db5ce22a4689fd76a3f4,06a71e8ab0c6db5ce22a4689fd76a3f4,afd0a7b8d546fcc697bb93a5934b65c3,130.321208,1900-01-01 10:07:53,1900-01-01 11:00:00,0 days 02:10:19.272480,1900-01-01 07:57:33.727520000,0 days 03:02:26.272480,182.43787466666666,452ae015bf846e1d2932b7ea15720d64,18.23159,-10.03145,06a71e8ab0c6db5ce22a4689fd76a3f4,ADVANCED,0.86,1.89,1.0,4.92,06a71e8ab0c6db5ce22a4689fd76a3f4,ADVANCED,0.86,1.89,1.0,4.92,44.0,28.0,11.575,3.0,31.0,7.720999999999999,0.2887282345778715
f169a660e8667798da11775767cdce78,18.28933,-10.03227,2,12:00:00,11:29:36,False,163278a2f745b3416526066a5fe12f3b,163278a2f745b3416526066a5fe12f3b,86e6e48d0cb57f794b0c48162409fa74,74.993118,1900-01-01 11:29:36,1900-01-01 12:00:00,0 days 01:14:59.587079999,1900-01-01 10:14:36.412920001,0 days 01:45:23.587079999,105.39311798333333,60e4c4e1c1a8bc79123738227b9d0b08,18.29988,-10.03484,163278a2f745b3416526066a5fe12f3b,INTERMEDIATE,0.85,2.33,0.96,4.64,163278a2f745b3416526066a5fe12f3b,INTERMEDIATE,0.85,2.33,0.96,4.64,2.0,4.0,0.0,0.0,4.0,0.0,1.2040768148430934
073eca5efe7ebb1073ec80cb90185c20,18.22078,-10.04173,2,12:00:00,11:00:15,False,e0322b49c16e71de1fe1837d98f23468,e0322b49c16e71de1fe1837d98f23468,3dd9ae393aa5327edfb27388758436bd,65.901589,1900-01-01 11:00:15,1900-01-01 12:00:00,0 days 01:05:54.095340,1900-01-01 09:54:20.904660000,0 days 02:05:39.095340,125.651589,0fae7b61265bc7ca4ce4d81440b62501,18.26223,-10.0415,e0322b49c16e71de1fe1837d98f23468,ADVANCED,0.89,1.58,1.0,5.0,e0322b49c16e71de1fe1837d98f23468,ADVANCED,0.89,1.58,1.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,4.609100078366662
99a360636e3cb03552b6d74b4ccef603,18.22071,-10.04172,2,10:00:00,9:44:54,False,649984b82d3dd1a1083a72de6b4b348c,649984b82d3dd1a1083a72de6b4b348c,9ef0cb7f21f56bf24ca5ef4194f69c64,93.661068,1900-01-01 09:44:54,1900-01-01 10:00:00,0 days 01:33:39.664080,1900-01-01 08:11:14.335920000,0 days 01:48:45.664080,108.761068,044d56734d20e04984d846dade6d39f3,18.22361,-10.04064,649984b82d3dd1a1083a72de6b4b348c,INTERMEDIATE,0.88,2.77,1.0,4.78,649984b82d3dd1a1083a72de6b4b348c,INTERMEDIATE,0.88,2.77,1.0,4.78,3.0,3.0,0.0,0.0,3.0,0.0,0.34204637310413477
c1800bdd3c666b497b39d6e526917167,18.22094,-10.04172,2,10:00:00,8:46:04,False,a083ea904c55052cdb58917ed790ca96,a083ea904c55052cdb58917ed790ca96,2d69acabaafd2516eeffd3c69b3c1328,665.212,1900-01-01 08:46:04,1900-01-01 10:00:00,0 days 11:05:12.720000,1899-12-31 21:40:51.280000000,0 days 12:19:08.720000,739.1453333333334,60e4c4e1c1a8bc79123738227b9d0b08,18.21834,-10.04157,a083ea904c55052cdb58917ed790ca96,ADVANCED,0.86,1.5,0.96,4.72,a083ea904c55052cdb58917ed790ca96,ADVANCED,0.86,1.5,0.96,4.72,20.0,22.0,0.505,2.0,25.0,0.5,0.2895409818631794
b4c64ceaa31265a4b2ff0dec82b9beeb,18.21779,-10.03446,2,17:00:00,16:33:37,False,2bfd559c4bef0e59fee43bf322e3ea5e,2bfd559c4bef0e59fee43bf322e3ea5e,f45fd1f4de72b451f9d99e2a033de337,83.232147,1900-01-01 16:33:37,1900-01-01 17:00:00,0 days 01:23:13.928820,1900-01-01 15:10:23.071180000,0 days 01:49:36.928820,109.61548033333334,387d4a5b65cf4bf00ad805c4b00eed01,18.22698,-10.03056,2bfd559c4bef0e59fee43bf322e3ea5e,ADVANCED,0.86,1.55,0.92,4.96,2bfd559c4bef0e59fee43bf322e3ea5e,ADVANCED,0.86,1.55,0.92,4.96,1.0,3.0,0.0,0.0,3.0,0.0,1.1017787913310626
